fecha,temp_prom,viento,sensacion,riesgo,confianza,temp
2026-04-24 19:05:48,20.435,2.555,24.13,🟢 NORMAL,🔴 Baja confiabilidad (variación alta),
2026-04-24 19:15:38,,2.455,24.15,🟢 NORMAL,🔴 Baja confiabilidad,15.8
